impl,msg_size,threads,latency_us,throughput_mbps,cycles,cache_misses,l1_misses,context_switches
A1,64,1,0.023671,21630.056876,4428434960,73791,278029825,205231
A1,64,2,0.026562,19275.581868,5426495356,365091,244511138,380127
A1,64,4,0.026626,19229.679287,7383289450,229185,264196315,684955
A1,64,8,0.031420,16295.342707,9260328291,479223,262925754,922325
A1,512,1,0.192013,21331.866927,4231862951,123809,267300487,183039
A1,512,2,0.191937,21340.299782,5506253769,343769,266958333,405776
A1,512,4,0.229390,17856.020110,7371074620,305396,256421622,617976
A1,512,8,0.262086,15628.482218,8935485320,1642479,250721264,851938
A1,4096,1,1.572703,20835.462652,4405385392,126108,263504702,172397
A1,4096,2,1.684799,19449.205017,5331943127,134876,245333345,383559
A1,4096,4,2.067233,15851.139933,6854787890,245844,227403153,565021
A1,4096,8,2.047480,16004.066901,8831049829,513575,258711337,836723
A1,65536,1,26.788574,19571.542032,3920243378,66691,248902082,183538
A1,65536,2,27.865050,18815.303108,5116471227,96436,236242428,378461
A1,65536,4,29.219934,17942.884944,6681515484,142600,241683823,621121
A1,65536,8,39.903575,13138.971023,8093526882,1393314,219688864,741318
A2,64,1,0.028219,18143.910894,3746313929,77254,228397009,162969
A2,64,2,0.028833,17757.292781,5192067496,171773,226354296,347498
A2,64,4,0.033433,15314.282411,6112469916,291506,209554942,540277
A2,64,8,0.035593,14384.893386,8360406713,700160,235744795,802281
A2,512,1,0.212266,19296.587333,3915314230,70876,246781606,183929
A2,512,2,0.235280,17409.020272,4999120071,234900,221674987,339054
A2,512,4,0.240783,17011.163097,7201215167,336039,244423362,576112
A2,512,8,0.292818,13988.203038,8520730387,1391994,235238447,799787
A2,4096,1,1.850270,17709.866262,3677941373,93651,224214470,162934
A2,4096,2,1.824476,17960.221017,5227750184,240391,229261826,345206
A2,4096,4,2.026320,16171.187474,6892677537,407674,230518625,553515
A2,4096,8,2.410178,13595.674785,8009632429,669209,225385202,782791
A2,65536,1,32.323233,16220.405166,3504580704,72388,205638893,148845
A2,65536,2,32.109039,16328.607540,4831752658,117230,208306076,321873
A2,65536,4,32.808888,15980.289204,6672014521,235340,226285541,552924
A2,65536,8,34.858943,15040.305284,8199500538,422519,239840147,798797
A3,64,1,0.026670,19197.271216,3921583313,75317,242935738,172034
A3,64,2,0.027830,18397.668141,5110376684,132584,232146996,360160
A3,64,4,0.030529,16770.776866,6690472763,345910,233406232,587735
A3,64,8,0.038906,13159.804249,7616916405,1529423,213721794,711551
A3,512,1,0.213044,19226.053671,3842335182,74970,241023661,170609
A3,512,2,0.213435,19190.870868,5259011800,86582,240487120,383893
A3,512,4,0.228180,17950.775027,7057613691,169220,250448691,637676
A3,512,8,0.283366,14454.790884,9068360843,357840,244165738,925355
A3,4096,1,1.618006,20252.089240,4182665315,84547,256651117,180697
A3,4096,2,1.554539,21078.920269,5419987623,93332,261948729,408233
A3,4096,4,1.724209,19004.651371,7301024739,164771,261239967,644836
A3,4096,8,1.991611,16453.014565,8916602430,353706,262233910,929838
A3,65536,1,26.481696,19798.291859,4083401364,57995,251350690,182046
A3,65536,2,28.411131,18453.759909,5545599229,136009,239993860,323207
A3,65536,4,27.528422,19045.400059,7297484074,280666,261890600,653180
A3,65536,8,33.213881,15785.387385,9280690223,680900,258335586,924149
